"","Cluster","id","Count","Patient.Status","Patient","TissueStatus"
"1","Liver epithelial cells 1","N008",1021,"Patient 1:NML","Patient 1","NML"
"2","Liver epithelial cells 2","N008",3687,"Patient 1:NML","Patient 1","NML"
"3","Endothelial cells","N008",1070,"Patient 1:NML","Patient 1","NML"
"4","Liver epithelial cells 3","N008",2439,"Patient 1:NML","Patient 1","NML"
"5","Liver epithelial cells 4","N008",153,"Patient 1:NML","Patient 1","NML"
"6","Stellate cells","N008",888,"Patient 1:NML","Patient 1","NML"
"7","Liver epithelial cells 5","N008",1394,"Patient 1:NML","Patient 1","NML"
"8","Cholangiocyte cells","N008",2935,"Patient 1:NML","Patient 1","NML"
"9","Neutrophils and macrophages","N008",488,"Patient 1:NML","Patient 1","NML"
"10","Lymphocyte","N008",417,"Patient 1:NML","Patient 1","NML"
"11","Liver epithelial 6","N008",8,"Patient 1:NML","Patient 1","NML"
"12","Unknown","N008",3,"Patient 1:NML","Patient 1","NML"
"13","Liver epithelial cells 1","N014",3123,"Patient 2:NML","Patient 2","NML"
"14","Liver epithelial cells 2","N014",1156,"Patient 2:NML","Patient 2","NML"
"15","Endothelial cells","N014",816,"Patient 2:NML","Patient 2","NML"
"16","Liver epithelial cells 3","N014",208,"Patient 2:NML","Patient 2","NML"
"17","Liver epithelial cells 4","N014",221,"Patient 2:NML","Patient 2","NML"
"18","Stellate cells","N014",367,"Patient 2:NML","Patient 2","NML"
"19","Liver epithelial cells 5","N014",81,"Patient 2:NML","Patient 2","NML"
"20","Cholangiocyte cells","N014",366,"Patient 2:NML","Patient 2","NML"
"21","Neutrophils and macrophages","N014",225,"Patient 2:NML","Patient 2","NML"
"22","Lymphocyte","N014",61,"Patient 2:NML","Patient 2","NML"
"23","Liver epithelial 6","N014",1,"Patient 2:NML","Patient 2","NML"
"24","Unknown","N014",0,"Patient 2:NML","Patient 2","NML"
"25","Liver epithelial cells 1","N015",5441,"Patient 3:NML","Patient 3","NML"
"26","Liver epithelial cells 2","N015",1709,"Patient 3:NML","Patient 3","NML"
"27","Endothelial cells","N015",1302,"Patient 3:NML","Patient 3","NML"
"28","Liver epithelial cells 3","N015",296,"Patient 3:NML","Patient 3","NML"
"29","Liver epithelial cells 4","N015",797,"Patient 3:NML","Patient 3","NML"
"30","Stellate cells","N015",753,"Patient 3:NML","Patient 3","NML"
"31","Liver epithelial cells 5","N015",331,"Patient 3:NML","Patient 3","NML"
"32","Cholangiocyte cells","N015",825,"Patient 3:NML","Patient 3","NML"
"33","Neutrophils and macrophages","N015",764,"Patient 3:NML","Patient 3","NML"
"34","Lymphocyte","N015",268,"Patient 3:NML","Patient 3","NML"
"35","Liver epithelial 6","N015",5,"Patient 3:NML","Patient 3","NML"
"36","Unknown","N015",0,"Patient 3:NML","Patient 3","NML"
"37","Liver epithelial cells 1","N021",2714,"Patient 4:NML","Patient 4","NML"
"38","Liver epithelial cells 2","N021",1535,"Patient 4:NML","Patient 4","NML"
"39","Endothelial cells","N021",1745,"Patient 4:NML","Patient 4","NML"
"40","Liver epithelial cells 3","N021",2475,"Patient 4:NML","Patient 4","NML"
"41","Liver epithelial cells 4","N021",119,"Patient 4:NML","Patient 4","NML"
"42","Stellate cells","N021",1357,"Patient 4:NML","Patient 4","NML"
"43","Liver epithelial cells 5","N021",445,"Patient 4:NML","Patient 4","NML"
"44","Cholangiocyte cells","N021",925,"Patient 4:NML","Patient 4","NML"
"45","Neutrophils and macrophages","N021",1751,"Patient 4:NML","Patient 4","NML"
"46","Lymphocyte","N021",663,"Patient 4:NML","Patient 4","NML"
"47","Liver epithelial 6","N021",403,"Patient 4:NML","Patient 4","NML"
"48","Unknown","N021",0,"Patient 4:NML","Patient 4","NML"
"49","Liver epithelial cells 1","T005",185,"Patient 5:FLC-Pri","Patient 5","FLC-Pri"
"50","Liver epithelial cells 2","T005",448,"Patient 5:FLC-Pri","Patient 5","FLC-Pri"
"51","Endothelial cells","T005",1677,"Patient 5:FLC-Pri","Patient 5","FLC-Pri"
"52","Liver epithelial cells 3","T005",555,"Patient 5:FLC-Pri","Patient 5","FLC-Pri"
"53","Liver epithelial cells 4","T005",8941,"Patient 5:FLC-Pri","Patient 5","FLC-Pri"
"54","Stellate cells","T005",722,"Patient 5:FLC-Pri","Patient 5","FLC-Pri"
"55","Liver epithelial cells 5","T005",426,"Patient 5:FLC-Pri","Patient 5","FLC-Pri"
"56","Cholangiocyte cells","T005",120,"Patient 5:FLC-Pri","Patient 5","FLC-Pri"
"57","Neutrophils and macrophages","T005",674,"Patient 5:FLC-Pri","Patient 5","FLC-Pri"
"58","Lymphocyte","T005",422,"Patient 5:FLC-Pri","Patient 5","FLC-Pri"
"59","Liver epithelial 6","T005",2,"Patient 5:FLC-Pri","Patient 5","FLC-Pri"
"60","Unknown","T005",0,"Patient 5:FLC-Pri","Patient 5","FLC-Pri"
"61","Liver epithelial cells 1","T008",43,"Patient 1: FLC-Pri","Patient 1"," FLC-Pri"
"62","Liver epithelial cells 2","T008",3425,"Patient 1: FLC-Pri","Patient 1"," FLC-Pri"
"63","Endothelial cells","T008",1505,"Patient 1: FLC-Pri","Patient 1"," FLC-Pri"
"64","Liver epithelial cells 3","T008",595,"Patient 1: FLC-Pri","Patient 1"," FLC-Pri"
"65","Liver epithelial cells 4","T008",32,"Patient 1: FLC-Pri","Patient 1"," FLC-Pri"
"66","Stellate cells","T008",1638,"Patient 1: FLC-Pri","Patient 1"," FLC-Pri"
"67","Liver epithelial cells 5","T008",1748,"Patient 1: FLC-Pri","Patient 1"," FLC-Pri"
"68","Cholangiocyte cells","T008",165,"Patient 1: FLC-Pri","Patient 1"," FLC-Pri"
"69","Neutrophils and macrophages","T008",474,"Patient 1: FLC-Pri","Patient 1"," FLC-Pri"
"70","Lymphocyte","T008",610,"Patient 1: FLC-Pri","Patient 1"," FLC-Pri"
"71","Liver epithelial 6","T008",3,"Patient 1: FLC-Pri","Patient 1"," FLC-Pri"
"72","Unknown","T008",150,"Patient 1: FLC-Pri","Patient 1"," FLC-Pri"
"73","Liver epithelial cells 1","T014",4385,"Patient 2:FLC-Pri","Patient 2","FLC-Pri"
"74","Liver epithelial cells 2","T014",808,"Patient 2:FLC-Pri","Patient 2","FLC-Pri"
"75","Endothelial cells","T014",1674,"Patient 2:FLC-Pri","Patient 2","FLC-Pri"
"76","Liver epithelial cells 3","T014",2222,"Patient 2:FLC-Pri","Patient 2","FLC-Pri"
"77","Liver epithelial cells 4","T014",328,"Patient 2:FLC-Pri","Patient 2","FLC-Pri"
"78","Stellate cells","T014",1775,"Patient 2:FLC-Pri","Patient 2","FLC-Pri"
"79","Liver epithelial cells 5","T014",2975,"Patient 2:FLC-Pri","Patient 2","FLC-Pri"
"80","Cholangiocyte cells","T014",72,"Patient 2:FLC-Pri","Patient 2","FLC-Pri"
"81","Neutrophils and macrophages","T014",461,"Patient 2:FLC-Pri","Patient 2","FLC-Pri"
"82","Lymphocyte","T014",155,"Patient 2:FLC-Pri","Patient 2","FLC-Pri"
"83","Liver epithelial 6","T014",20,"Patient 2:FLC-Pri","Patient 2","FLC-Pri"
"84","Unknown","T014",0,"Patient 2:FLC-Pri","Patient 2","FLC-Pri"
"85","Liver epithelial cells 1","T021",337,"Patient 4:FLC-Pri","Patient 4","FLC-Pri"
"86","Liver epithelial cells 2","T021",3868,"Patient 4:FLC-Pri","Patient 4","FLC-Pri"
"87","Endothelial cells","T021",1516,"Patient 4:FLC-Pri","Patient 4","FLC-Pri"
"88","Liver epithelial cells 3","T021",1678,"Patient 4:FLC-Pri","Patient 4","FLC-Pri"
"89","Liver epithelial cells 4","T021",243,"Patient 4:FLC-Pri","Patient 4","FLC-Pri"
"90","Stellate cells","T021",561,"Patient 4:FLC-Pri","Patient 4","FLC-Pri"
"91","Liver epithelial cells 5","T021",594,"Patient 4:FLC-Pri","Patient 4","FLC-Pri"
"92","Cholangiocyte cells","T021",66,"Patient 4:FLC-Pri","Patient 4","FLC-Pri"
"93","Neutrophils and macrophages","T021",480,"Patient 4:FLC-Pri","Patient 4","FLC-Pri"
"94","Lymphocyte","T021",67,"Patient 4:FLC-Pri","Patient 4","FLC-Pri"
"95","Liver epithelial 6","T021",2,"Patient 4:FLC-Pri","Patient 4","FLC-Pri"
"96","Unknown","T021",0,"Patient 4:FLC-Pri","Patient 4","FLC-Pri"
"97","Liver epithelial cells 1","T034",2066,"Patient 6:FLC-Pri","Patient 6","FLC-Pri"
"98","Liver epithelial cells 2","T034",505,"Patient 6:FLC-Pri","Patient 6","FLC-Pri"
"99","Endothelial cells","T034",2385,"Patient 6:FLC-Pri","Patient 6","FLC-Pri"
"100","Liver epithelial cells 3","T034",842,"Patient 6:FLC-Pri","Patient 6","FLC-Pri"
"101","Liver epithelial cells 4","T034",141,"Patient 6:FLC-Pri","Patient 6","FLC-Pri"
"102","Stellate cells","T034",1598,"Patient 6:FLC-Pri","Patient 6","FLC-Pri"
"103","Liver epithelial cells 5","T034",1047,"Patient 6:FLC-Pri","Patient 6","FLC-Pri"
"104","Cholangiocyte cells","T034",100,"Patient 6:FLC-Pri","Patient 6","FLC-Pri"
"105","Neutrophils and macrophages","T034",466,"Patient 6:FLC-Pri","Patient 6","FLC-Pri"
"106","Lymphocyte","T034",527,"Patient 6:FLC-Pri","Patient 6","FLC-Pri"
"107","Liver epithelial 6","T034",1317,"Patient 6:FLC-Pri","Patient 6","FLC-Pri"
"108","Unknown","T034",0,"Patient 6:FLC-Pri","Patient 6","FLC-Pri"
"109","Liver epithelial cells 1","T038",33,"Patient 7:FLC-Pri","Patient 7","FLC-Pri"
"110","Liver epithelial cells 2","T038",54,"Patient 7:FLC-Pri","Patient 7","FLC-Pri"
"111","Endothelial cells","T038",753,"Patient 7:FLC-Pri","Patient 7","FLC-Pri"
"112","Liver epithelial cells 3","T038",10,"Patient 7:FLC-Pri","Patient 7","FLC-Pri"
"113","Liver epithelial cells 4","T038",33,"Patient 7:FLC-Pri","Patient 7","FLC-Pri"
"114","Stellate cells","T038",1134,"Patient 7:FLC-Pri","Patient 7","FLC-Pri"
"115","Liver epithelial cells 5","T038",32,"Patient 7:FLC-Pri","Patient 7","FLC-Pri"
"116","Cholangiocyte cells","T038",1047,"Patient 7:FLC-Pri","Patient 7","FLC-Pri"
"117","Neutrophils and macrophages","T038",308,"Patient 7:FLC-Pri","Patient 7","FLC-Pri"
"118","Lymphocyte","T038",137,"Patient 7:FLC-Pri","Patient 7","FLC-Pri"
"119","Liver epithelial 6","T038",0,"Patient 7:FLC-Pri","Patient 7","FLC-Pri"
"120","Unknown","T038",0,"Patient 7:FLC-Pri","Patient 7","FLC-Pri"
